Facility,Departures,Arrivals
ABQ,"27,192","27,195"
ANC,"49,186","50,380"
ASE,"8,106","8,103"
ATL,"383,767","383,090"
AUS,"90,047","89,972"
BDL,"27,079","27,084"
BHM,"19,278","19,285"
BNA,"105,033","104,954"
BOI,"27,385","27,343"
BOS,"188,962","188,964"
BUF,"24,532","24,534"
BUR,"32,646","32,645"
BWI,"104,638","104,644"
CLE,"44,673","44,711"
CLT,"272,229","272,290"
CMH,"45,109","45,111"
CVG,"52,918","52,980"
DAL,"72,739","72,737"
DAY,"10,063","10,062"
DCA,"147,528","147,393"
DEN,"329,905","329,935"
DFW,"358,472","358,501"
DTW,"144,729","144,718"
EWR,"193,900","193,567"
FLL,"121,626","121,571"
HNL,"81,365","81,399"
HOU,"60,833","60,829"
HPN,"15,795","15,874"
IAD,"115,901","115,651"
IAH,"211,699","211,815"
IND,"48,867","48,906"
ISP,"5,320","5,320"
JAX,"31,698","31,695"
JFK,"214,897","213,983"
LAS,"205,440","205,498"
LAX,"264,120","264,401"
LGA,"175,918","175,965"
LGB,"17,650","17,652"
MCI,"53,501","53,506"
MCO,"190,258","190,288"
MDW,"83,216","83,210"
MEM,"24,915","24,909"
MHT,"7,931","7,931"
MIA,"195,886","192,599"
MKE,"31,239","31,239"
MSP,"153,237","153,237"
MSY,"52,734","52,726"
OAK,"44,741","44,735"
OGG,"35,856","35,818"
OMA,"24,279","24,268"
ONT,"28,456","28,461"
ORD,"376,075","370,906"
PBI,"31,462","31,461"
PDX,"77,395","77,403"
PHL,"137,648","137,653"
PHX,"211,631","211,638"
PIT,"50,491","50,489"
PSP,"15,983","15,986"
PVD,"19,712","19,703"
RDU,"67,569","67,565"
RFD,"1,344","1,331"
RSW,"39,555","39,548"
SAN,"99,970","99,920"
SAT,"45,706","45,592"
SDF,"27,151","27,152"
SEA,"208,536","208,647"
SFO,"175,784","176,686"
SJC,"53,435","53,433"
SJU,"62,249","62,292"
SLC,"118,187","118,212"
SMF,"58,177","58,178"
SNA,"46,604","46,574"
STL,"72,931","72,933"
SWF,981,981
TEB,963,"1,008"
TPA,"91,137","91,174"
TUS,"19,652","19,662"
VNY,436,441
